smyth-id,citation,author,work,loc
s1029,Thuc. 7.43,T.,, 7.43
s1030,Plat. Gorg. 470e,P.,G., 470e
s1030,Dem. 19.227,D.,, 19.227
s1031,Xen. Anab. 1.5.6,X.,A., 1.5.6
s1032,Xen. Anab. 1.5.4,X.,A., 1.5.4
s1033,Xen. Anab. 4.5.31,X.,A., 4.5.31
s1033,Hom. Il. 16.141,H.,Il.,16.141
s1034,Plat. Apol. 21d,P.,A., 21d
s1034,Thuc. 4.40,T.,, 4.40
s1034,Xen. Anab. 5.6.4,X.,A., 5.6.4
s1034,Dem. 37.57,D.,, 37.57
s1035,Xen. Anab. 4.6.4,X.,A., 4.6.4
s1036,Soph. Aj. 793,S.,A., 793
s1036,Thuc. 2.61,T.,, 2.61
s1037,Plat. Gorg. 448c,P.,G., 448c
s1038,Thuc. 1.128,T.,, 1.128
s1038,Xen. Hell. 1.7.21,X.,H., 1.7.21
s1039,Xen. Hell. 5.2.33,X.,H., 5.2.33
s1040,Soph. OT 609,S.,O. T., 609
s1040,Dem. 21.30,D.,, 21.30
s1040,Aeschin. 3.233,Aes.,, 3.233
s1041,Eur. IT 391,E.,I. T., 391
s1041,Dem. 45.34,D.,, 45.34
s1041,Plat. Prot. 359e,P.,Pr., 359e
s1042,Xen. Anab. 5.3.2,X.,A., 5.3.2
s1042,Xen. Anab. 1.3.2,X.,A., 1.3.2
s1042,Aeschin. 3.69,Aes.,, 3.69
s1043,Xen. Anab. 4.7.7,X.,A., 4.7.7
s1043,Thuc. 1.63,T.,, 1.63
s1043,Xen. Cyrop. 1.6.2,X.,C., 1.6.2
s1044,Xen. Hell. 2.2.3,X.,H., 2.2.3
s1044,Xen. Anab. 2.1.6,X.,A., 2.1.6
s1045,Plat. Euthyd. 273d,P.,Eu., 273d
s1045,Eur. IT 777,E.,I. T., 777
s1046,Isoc. 12.156,I.,, 12.156
s1047,Dem. 19.221,D.,, 19.221
s1048,Dem. 19.336,D.,, 19.336
s1048,Plat. Rep. 368e,P.,R., 368e
s1049,Thuc. 4.76,T.,, 4.76
s1050,Isoc. 2.53,I.,, 2.53
s1052,Thuc. 2.56,T.,, 2.56
s1053,Dem. 3.4,D.,, 3.4
s1053,Xen. Cyrop. 5.1.10,X.,C., 5.1.10
s1054,Plat. Sym. 193c,P.,S., 193c
s1055,Xen. Cyrop. 3.1.7,X.,C., 3.1.7
s1055,Xen. Anab. 1.4.8,X.,A., 1.4.8
s1056,Plat. Euthyd. 279b,P.,Eu., 279b
s1057,Xen. Mem. 3.1.7,X.,M., 3.1.7
s1058,Xen. Anab. 6.3.22,X.,A., 6.3.22
s1058,Aeschin. 2.118,Aes.,, 2.118
s1058,Plat. Rep. 562a,P.,R., 562a
s1059,Thuc. 4.112,T.,, 4.112
s1061,Xen. Hell. 1.5.2,X.,H., 1.5.2
s1061,Xen. Cyrop. 7.2.23,X.,C., 7.2.23
s1061,Aeschin. 2.1,Aes.,, 2.1
s1062,Xen. Anab. 7.1.21,X.,A., 7.1.21
s1062,Thuc. 4.29,T.,, 4.29
s1062,Xen. Anab. 2.1.2,X.,A., 2.1.2
s1062,Xen. Ec. 11.23,X.,O., 11.23
s1063,Thuc. 1.50,T.,, 1.50
s1063,Andoc. 2.15,And.,, 2.15
s1063,Xen. Mem. 3.13.3,X.,M., 3.13.3
s1064,Soph. OC 1238,S.,O. C., 1238
s1065,Aesch. Ag. 1591,A.,Ag., 1591
s1066,Thuc. 2.35,T.,, 2.35
s1066,Thuc. 2.36,T.,, 2.36
s1066,Xen. Cyrop. 5.1.6,X.,C., 5.1.6
s1067,Dem. 27.2,D.,, 27.2
s1069,Xen. Mem. 2.6.27,X.,M., 2.6.27
s1069,Xen. Mem. 1.5.6,X.,M., 1.5.6
s1069,Thuc. 7.63,T.,, 7.63
s1069,Xen. Mem. 4.3.10,X.,M., 4.3.10
s1069,Eur. Med. 327,E.,Med., 327
s1069,Eur. Med. 327,E.,Med., 327
s1069,Xen. Anab. 3.3.7,X.,A., 3.3.7
s1069,Thuc. 6.16,T.,, 6.16
s1069,Xen. Cyrop. 2.3.12,X.,C., 2.3.12
s1070,Xen. Cyrop. 2.3.13,X.,C., 2.3.13
s1070,Thuc. 7.77,T.,, 7.77
s1070,Xen. Anab. 1.9.25,X.,A., 1.9.25
s1071,Aesch. PB 629,A.,Pr., 629
s1071,Plat. Apol. 30b,P.,A., 30b
s1072,Xen. Cyrop. 3.3.51,X.,C., 3.3.51
s1073,Plat. Crito 54b,P.,Cr., 54b
s1073,Thuc. 4.6,T.,, 4.6
s1073,Lys. 9.1,L.,, 9.1
s1074,Xen. Hell. 4.5.4,X.,H., 4.5.4
s1074,Dem. 24.141,D.,, 24.141
s1074,Xen. Cyrop. 2.1.6,X.,C., 2.1.6
s1074,Xen. Cyrop. 2.1.5,X.,C., 2.1.5
s1074,Plat. Apol. 17d,P.,A., 17d
s1074,Xen. Hell. 1.3.10,X.,H., 1.3.10
s1075,Xen. Hell. 4.6.5,X.,H., 4.6.5
s1075,Isaeus 1.20,Is.,, 1.20
s1076,Xen. Cyrop. 4.3.7,X.,C., 4.3.7
s1077,Thuc. 7.67,T.,, 7.67
s1077,Thuc. 2.64,T.,, 2.64
s1077,Xen. Anab. 4.3.34,X.,A., 4.3.34
s1078,Isoc. 15.267,I.,, 15.267
s1078,Thuc. 1.8,T.,, 1.8
s1079,Thuc. 7.45,T.,, 7.45
s1079,Xen. Mem. 3.5.17,X.,M., 3.5.17
s1080,Aeschin. 3.69,Aes.,, 3.69
s1080,Isoc. 6.24,I.,, 6.24
s1080,Eur. Med. 485,E.,Med., 485
s1081,Dem. 21.14,D.,, 21.14
s1082,Thuc. 3.82,T.,, 3.82
s1082,Plat. Prot. 310a,P.,Pr., 310a
s1082,Thuc. 7.27,T.,, 7.27
s1082,Hdt. 1.91,Hdt.,, 1.91
s1082,Xen. Mem. 4.2.35,X.,M., 4.2.35
s1082,Plat. Gorg. 486c,P.,G., 486c
s1082,Xen. Hell. 4.8.36,X.,H., 4.8.36
s1083,Plat. Phaedo 105a,P.,Ph., 105a
s1084,Lys. 10.29,L.,, 10.29
s1084,Plat. Gorg. 487b,P.,G., 487b
s1086,Xen. Cyrop. 7.5.82,X.,C., 7.5.82
s1086,Aesch. Ag. 600,A.,Ag., 600
s1086,Xen. Ec. 18.8,X.,O., 18.8
s1086,Plat. Sym. 218d,P.,S., 218d
s1086,Isoc. 21.2,I.,, 21.2
s1087,Lys. 13.23,L.,, 13.23
s1087,Xen. Cyrop. 4.5.29,X.,C., 4.5.29
s1088,Thuc. 8.68,T.,, 8.68
s1089,Thuc. 3.81,T.,, 3.81
s1090,Plat. Tim. 92a,P.,Tim., 92a
s1090,Aesch. Supp. 555,A.,Supp., 555
s1092,Soph. OT 334,S.,O. T., 334
s1093,Plat. Laws 715d,P.,L., 715d
s1094,Xen. Cyrop. 4.2.5,X.,C., 4.2.5
s1094,Dem. 8.41,D.,, 8.41
s1094,Xen. Hell. 6.2.39,X.,H., 6.2.39
s1094,Lys. 4.6,L.,, 4.6
s1094,Xen. Anab. 1.8.24,X.,A., 1.8.24
s1094,Xen. Anab. 1.5.2,X.,A., 1.5.2
s1095,Xen. Anab. 1.5.8,X.,A., 1.5.8
s1096,Xen. Anab. 2.4.16,X.,A., 2.4.16
s1096,Plat. Rep. 619b,P.,R., 619b
s1096,Lys. 6.35,L.,, 6.35
s1097,Isoc. 11.24,I.,, 11.24
s1097,Plat. Lach. 195a,P.,Lach., 195a
s1100,Hom. Od. 4.655,H.,Od.,4.655
s1102,Hom. Od. 18.333,H.,Od.,18.333
s1102,Hom. Il. 23.640,H.,Il.,23.640
s1102,Hom. Il. 23.572,H.,Il.,23.572
s1102,Hom. Od. 24.225,H.,Od.,24.225
s1102,Hom. Od. 1.370,H.,Od.,1.370
s1102,Hom. Il. 21.371,H.,Il.,21.371
s1105,Eur. Andr. 810,E.,And., 810
s1105,Eur. Hipp. 525,E.,Hipp., 525
s1107,Xen. Anab. 3.4.16,X.,A., 3.4.16
s1108,Xen. Anab. 1.1.7,X.,A., 1.1.7
s1110,Dem. 18.71,D.,, 18.71
s1112,Plat. Apol. 37a,P.,A., 37a
s1112,Xen. Anab. 1.3.21,X.,A., 1.3.21
s1112,Xen. Anab. 1.1.9,X.,A., 1.1.9
s1113,Xen. Anab. 7.6.4,X.,A., 7.6.4
s1113,Plat. Rep. 327c,P.,R., 327c
s1113,Plat. Sym. 174a,P.,S., 174a
s1115,Hdt. 4.68,Hdt.,, 4.68
s1115,Lys. 1.23,L.,, 1.23
s1115,Dem. 9.68,D.,, 9.68
s1115,Dem. 21.141,D.,, 21.141
s1115,Plat. Laws 701e,P.,L., 701e
s1116,Lys. 23.8,L.,, 23.8
s1116,Plat. Phaedo 75b,P.,Ph., 75b
s1117,Thuc. 1.118,T.,, 1.118
s1119,Plat. Phaedrus 268c,P.,Phae., 268c
s1120,Xen. Anab. 1.3.21,X.,A., 1.3.21
s1120,Dem. 18.103,D.,, 18.103
s1120,Xen. Hell. 2.4.23,X.,H., 2.4.23
s1120,Aeschin. 3.116,Aes.,, 3.116
s1120,Dem. 18.39,D.,, 18.39
s1120,Plat. Theaet. 143c,P.,Th., 143c
s1120,Lys. 12.9,L.,, 12.9
s1120,Plat. Tim. 20d,P.,Tim., 20d
s1120,Thuc. 4.91,T.,, 4.91
s1121,Xen. Anab. 1.8.3,X.,A., 1.8.3
s1122,Xen. Anab. 2.6.10,X.,A., 2.6.10
s1122,Dem. 18.242,D.,, 18.242
s1123,Xen. Anab. 1.9.13,X.,A., 1.9.13
s1124,Dem. 20.166,D.,, 20.166
s1125,Xen. Hell. 7.5.10,X.,H., 7.5.10
s1125,Xen. Ec. 20.16,X.,O., 20.16
s1125,Thuc. 1.10,T.,, 1.10
s1125,Xen. Anab. 4.8.22,X.,A., 4.8.22
s1125,Xen. Cyrop. 1.2.13,X.,C., 1.2.13
s1125,Plat. Rep. 337b,P.,R., 337b
s1125,Thuc. 8.64,T.,, 8.64
s1128,Xen. Anab. 3.4.15,X.,A., 3.4.15
s1128,Dem. 37.23,D.,, 37.23
s1128,Thuc. 1.98,T.,, 1.98
s1129,Plat. Theaet. 178b,P.,Th., 178b
s1130,Dem. 19.141,D.,, 19.141
s1130,Xen. Anab. 1.3.14,X.,A., 1.3.14
s1130,Xen. Anab. 1.8.8,X.,A., 1.8.8
s1130,Plat. Sym. 186d,P.,S., 186d
s1131,Xen. Cyrop. 4.1.5,X.,C., 4.1.5
s1132,Xen. Mem. 1.1.16,X.,M., 1.1.16
s1132,Isoc. 1.33,I.,, 1.33
s1133,Aeschin. 3.70,Aes.,, 3.70
s1133,Dem. 8.53,D.,, 8.53
s1136,Thuc. 1.1,T.,, 1.1
s1136,Xen. Anab. 1.4.7,X.,A., 1.4.7
s1136,Dem. 20.90,D.,, 20.90
s1136,Plat. Theaet. 169b,P.,Th., 169b
s1137,Lys. 21.4,L.,, 21.4
s1137,Isoc. 15.2,I.,, 15.2
s1138,Thuc. 2.1,T.,, 2.1
s1138,Plat. Rep. 406a,P.,R., 406a
s1139,Thuc. 1.12,T.,, 1.12
s1139,Thuc. 4.73,T.,, 4.73
s1140,Andoc. 1.48,And.,, 1.48
s1142,Thuc. 3.116,T.,, 3.116
s1142,Thuc. 1.116,T.,, 1.116
s1142,Hdt. 8.95,Hdt.,, 8.95
s1142,Xen. Anab. 7.8.21,X.,A., 7.8.21
s1142,Thuc. 2.93,T.,, 2.93
s1142,Thuc. 3.85,T.,, 3.85
s1142,Thuc. 2.99,T.,, 2.99
s1142,Thuc. 4.103,T.,, 4.103
s1142,Xen. Anab. 1.4.11,X.,A., 1.4.11
s1142,Thuc. 5.31,T.,, 5.31
s1142,Thuc. 3.91,T.,, 3.91
s1142,Hdt. 7.129,Hdt.,, 7.129
s1143,Plat. Apol. 28a,P.,A., 28a
s1143,Xen. Anab. 2.2.8,X.,A., 2.2.8
s1143,Thuc. 1.10,T.,, 1.10
s1143,Xen. Anab. 3.2.20,X.,A., 3.2.20
s1144,Dem. 23.132,D.,, 23.132
s1144,Xen. Anab. 7.1.13,X.,A., 7.1.13
s1145,Isoc. 2.4,I.,, 2.4
s1146,Xen. Anab. 1.9.30,X.,A., 1.9.30
s1146,Xen. Anab. 1.1.1,X.,A., 1.1.1
s1147,Thuc. 2.2,T.,, 2.2
s1147,Thuc. 1.1,T.,, 1.1
s1148,Lys. 4.20,L.,, 4.20
s1148,Thuc. 2.72,T.,, 2.72
s1148,Plat. Rep. 461a,P.,R., 461a
s1149,Xen. Cyrop. 6.2.41,X.,C., 6.2.41
s1149,Plat. Laws 680c,P.,L., 680c
s1150,Thuc. 2.15,T.,, 2.15
s1151,Plat. Apol. 21a,P.,A., 21a
s1151,Lys. 1.10,L.,, 1.10
s1152,Xen. Anab. 6.6.7,X.,A., 6.6.7
s1152,Antiph. 6.27,Ant.,, 6.27
s1152,Plat. Gorg. 483b,P.,G., 483b
s1152,Xen. Anab. 2.5.28,X.,A., 2.5.28
s1153,Plat. Rep. 341c,P.,R., 341c
s1153,Dem. 23.220,D.,, 23.220
s1153,Dem. 18.88,D.,, 18.88
s1153,Plat. Phaedo 68e,P.,Ph., 68e
s1153,Xen. Anab. 2.5.32,X.,A., 2.5.32
s1153,Thuc. 2.60,T.,, 2.60
s1153,Xen. Anab. 3.1.20,X.,A., 3.1.20
s1153,Thuc. 6.24,T.,, 6.24
s1153,Dem. 18.247,D.,, 18.247
s1153,Xen. Hell. 7.5.24,X.,H., 7.5.24
s1155,Xen. Anab. 2.5.32,X.,A., 2.5.32
s1157,Thuc. 3.96,T.,, 3.96
s1157,Dem. 53.12,D.,, 53.12
s1157,Xen. Anab. 1.2.18,X.,A., 1.2.18
s1158,Xen. Anab. 5.8.24,X.,A., 5.8.24
s1158,Thuc. 8.50,T.,, 8.50
s1158,Xen. Anab. 5.1.1,X.,A., 5.1.1
s1159,Thuc. 7.11,T.,, 7.11
s1159,Xen. Mem. 2.1.32,X.,M., 2.1.32
s1160,Dem. 53.10,D.,, 53.10
s1160,Aristoph. Cl. 1187,Ar.,Nub., 1187
s1160,Xen. Anab. 1.4.7,X.,A., 1.4.7
s1161,Xen. Anab. 6.4.19,X.,A., 6.4.19
s1161,Xen. Hell. 6.4.19,X.,H., 6.4.19
s1161,Lys. 12.41,L.,, 12.41
s1161,Lys. 3.32,L.,, 3.32
s1161,Lys. 12.36,L.,, 12.36
s1162,Plat. Stat. 281a,P.,Pol., 281a
s1164,Thuc. 8.2,T.,, 8.2
s1164,Xen. Hell. 4.3.15,X.,H., 4.3.15
s1164,Andoc. 1.16,And.,, 1.16
s1164,Andoc. 3.7,And.,, 3.7
s1164,Plat. Rep. 565d,P.,R., 565d
